name,gender,age,class,embarked,country,ticketno,fare,sibsp,parch,survived,PassengerId,Age Group,Fare Quartile,cabin,member_type,is_survived,port,bridge,is_survived2,diff
"Ismay, Mr. Joseph Bruce",male,49,1st,S,England,112058,,0,0,yes,1264,45-60,#N/A,B52 B54 B56,Passenger,1,"Southampton, England",Bridge B,0,1
"Ivanoff, Mr. Kanio",male,20,3rd,S,Bulgaria,349201,7.1711,0,0,no,739,16-30,Minimum,No cabin found,Passenger,0,"Southampton, England",No bridge found,0,0
"Jabbur (Zabour), Miss. Hileni",female,16,3rd,C,NA,2665,14.0901,1,0,no,591,16-30,1,No cabin found,Passenger,0,"Cherbourg, France",No bridge found,0,0
"Jabbur (Zabour), Miss. Thamine",female,19,3rd,C,NA,2665,14.0901,1,0,no,592,16-30,1,D20,Passenger,0,"Cherbourg, France",Bridge D,1,1
"Jacobsohn, Mrs. Amy Frances Christy",female,24,2nd,S,England,243847,27,2,1,yes,593,16-30,2,No cabin found,Passenger,1,"Southampton, England",No bridge found,0,1
"Jacobsohn, Mr. Sidney Samuel",male,42,2nd,S,South Africa,243847,27,1,0,no,218,31-45,2,No cabin found,Passenger,0,"Southampton, England",No bridge found,0,0
"Jalševac, Mr. Ivan",male,30,3rd,C,Croatia (Modern),349240,7.1711,0,0,yes,595,31-45,Minimum,No cabin found,Passenger,1,"Cherbourg, France",No bridge found,0,1
"Jansson, Mr. Carl Olof",male,21,3rd,S,Sweden,350034,7.1511,0,0,yes,392,16-30,Minimum,No cabin found,Passenger,1,"Southampton, England",No bridge found,1,0
"Jardim, Mr. José Neto",male,21,3rd,S,NA,3101305,7.01,0,0,no,597,16-30,Minimum,No cabin found,Passenger,0,"Southampton, England",No bridge found,1,1
"Jarvis, Mr. Denzil John",male,46,2nd,S,Wales,237565,15,0,0,no,598,45-60,2,No cabin found,Passenger,0,"Southampton, England",No bridge found,0,0
"Jefferys, Mr. Clifford Thomas",male,24,2nd,S,England,31029,31.1,2,0,no,923,16-30,3,No cabin found,Passenger,0,"Southampton, England",No bridge found,0,0
"Jefferys, Mr. Ernest Wilfred",male,21,2nd,S,England,31029,31.1,2,0,no,1211,16-30,3,No cabin found,Passenger,0,"Southampton, England",No bridge found,0,0
"Jenkin, Mr. Stephen Curnow",male,32,2nd,S,England,33111,10.1,0,0,no,71,31-45,1,No cabin found,Passenger,0,"Southampton, England",No bridge found,0,0
"Jensen, Mr. Hans Peder",male,20,3rd,S,Denmark,350050,7.1701,0,0,no,641,16-30,Minimum,No cabin found,Passenger,0,"Southampton, England",No bridge found,0,0
"Jensen, Mr. Niels Rasmus",male,48,3rd,S,Denmark,350048,7.0101,0,0,no,603,45-60,Minimum,No cabin found,Passenger,0,"Southampton, England",No bridge found,0,0
"Jensen, Mr. Svend Lauritz",male,17,3rd,S,Denmark,350047,7.1701,1,0,no,722,16-30,Minimum,No cabin found,Passenger,0,"Southampton, England",No bridge found,0,0
"Jermyn, Miss. Annie Jane",female,26,3rd,Q,Ireland,14313,7.15,0,0,yes,605,16-30,Minimum,No cabin found,Passenger,1,"Queenstown, England",No bridge found,1,0
"Jerwan, Mrs. Marie Marthe",female,23,2nd,C,United States,541,13.151,0,0,yes,606,16-30,1,No cabin found,Passenger,1,"Cherbourg, France",No bridge found,0,1
"Johannesen, Mr. Bernt Johannes",male,29,3rd,S,Norway,65306,8.0203,0,0,yes,607,31-45,1,No cabin found,Passenger,1,"Southampton, England",No bridge found,0,1
"Johanson, Mr. Jakob Alfred",male,34,3rd,S,Finland,3101264,6.0911,0,0,no,203,31-45,Minimum,No cabin found,Passenger,0,"Southampton, England",No bridge found,0,0
"Johansson, Mr. Erik",male,22,3rd,S,Sweden,350052,7.1511,0,0,no,396,16-30,Minimum,No cabin found,Passenger,0,"Southampton, England",No bridge found,0,0
"Johansson, Mr. Gustaf Joel",male,33,3rd,S,Sweden,7540,8.1301,0,0,no,104,31-45,1,No cabin found,Passenger,0,"Southampton, England",No bridge found,0,0
"Johansson, Mr. Karl Johan",male,31,3rd,S,United States,347063,7.1506,0,0,no,806,31-45,Minimum,No cabin found,Passenger,0,"Southampton, England",No bridge found,0,0
"Johansson, Mr. Nils",male,29,3rd,S,United States,347467,7.1701,0,0,no,1191,31-45,Minimum,No cabin found,Passenger,0,"Southampton, England",No bridge found,0,0
"Johansson Palmquist, Mr. Oskar Leander",male,26,3rd,S,Sweden,347070,7.1506,0,0,yes,995,16-30,Minimum,No cabin found,Passenger,1,"Southampton, England",No bridge found,0,1
"Johnson, Master. Harold Theodor",male,4,3rd,S,NA,347742,11.0208,1,1,yes,870,0-15,1,No cabin found,Passenger,1,"Southampton, England",No bridge found,1,0
"Johnson, Miss. Eleanor Ileen",female,1,3rd,S,NA,347742,11.0208,1,1,yes,173,0-15,1,No cabin found,Passenger,1,"Southampton, England",No bridge found,1,0
"Johnson, Mr. August",male,49,3rd,S,United States,370160,,Crew,Crew,no,616,45-60,#N/A,No cabin found,Passenger,0,"Southampton, England",No bridge found,1,1
"Johnson, Mr. Malkolm Joackim",male,33,3rd,S,United States,347062,7.1506,0,0,no,720,31-45,Minimum,No cabin found,Passenger,0,"Southampton, England",No bridge found,0,0
"Johnson, Mrs. Elisabeth Vilhelmina",female,26,3rd,S,NA,347742,11.0208,0,2,yes,618,16-30,1,No cabin found,Passenger,1,"Southampton, England",No bridge found,0,1
"Johnson, Mr. William Cahoone Jr.",male,19,3rd,S,United States,370160,,0,0,no,619,16-30,#N/A,F4,Passenger,0,"Southampton, England",Bridge F,1,1
"Johnston, Master. William Andrew",male,8,3rd,S,England,6607,23.09,1,2,no,620,0-15,2,No cabin found,Passenger,0,"Southampton, England",No bridge found,0,0
"Johnston, Miss. Catherine Nellie",female,7,3rd,S,England,6607,23.09,1,2,no,621,0-15,2,No cabin found,Passenger,0,"Southampton, England",No bridge found,0,0
"Johnston, Mr. Andrew Emslie",male,35,3rd,S,Scotland,6607,23.09,1,2,no,622,31-45,2,D19,Passenger,0,"Southampton, England",Bridge D,1,1
"Johnston, Mrs. Eliza",female,36,3rd,S,Scotland,6607,23.09,1,2,no,623,31-45,2,No cabin found,Passenger,0,"Southampton, England",No bridge found,1,1
"Jones, Mr. Charles Cresson",male,46,1st,S,United States,694,26,0,0,no,903,45-60,2,No cabin found,Passenger,0,"Southampton, England",No bridge found,0,0
"Jonkoff, Mr. Lalio",male,23,3rd,S,Bulgaria,349204,7.1711,0,0,no,754,16-30,Minimum,No cabin found,Passenger,0,"Southampton, England",No bridge found,0,0
"Jonsson, Mr. Carl",male,25,3rd,S,Sweden,350417,7.1701,0,0,yes,570,16-30,Minimum,No cabin found,Passenger,1,"Southampton, England",No bridge found,1,0
"Jönsson, Mr. Nils Hilding",male,27,3rd,S,Sweden,350408,7.1701,0,0,no,627,16-30,Minimum,No cabin found,Passenger,0,"Southampton, England",No bridge found,0,0
"Joseph (Shahin), Mr. Elias",male,39,3rd,C,Lebanon,2675,7.0407,0,2,no,628,31-45,Minimum,D9,Passenger,0,"Cherbourg, France",Bridge D,1,1
"Julian, Mr. Henry Forbes",male,50,1st,S,England,113044,26,0,0,no,1247,45-60,2,E60,Passenger,0,"Southampton, England",Bridge E,0,0
"Jussila, Miss. Katriina",female,20,3rd,S,Finland,4136,9.161,1,0,no,114,16-30,1,No cabin found,Passenger,0,"Southampton, England",No bridge found,0,0
"Jussila, Miss. Mari Aina",female,21,3rd,S,Finland,4137,9.161,1,0,no,403,16-30,1,No cabin found,Passenger,0,"Southampton, England",No bridge found,0,0
"Jussila, Mr. Eiriik",male,32,3rd,S,Finland,3101286,7.1806,0,0,yes,580,31-45,1,No cabin found,Passenger,1,"Southampton, England",No bridge found,1,0
"Kallio, Mr. Nikolai Erland",male,17,3rd,S,Finland,3101274,7.0206,0,0,no,434,16-30,Minimum,No cabin found,Passenger,0,"Southampton, England",No bridge found,0,0
"Kalvik, Mr. Johannes Halvorsen",male,21,3rd,S,Norway,8475,8.0808,0,0,no,653,16-30,1,No cabin found,Passenger,0,"Southampton, England",No bridge found,0,0
"Kantor, Mr. Sinai",male,34,2nd,S,Russia,244367,26,1,0,no,100,31-45,2,No cabin found,Passenger,0,"Southampton, England",No bridge found,0,0
"Kantor, Mrs. Miriam",female,24,2nd,S,Russia,244367,26,1,0,yes,636,16-30,2,No cabin found,Passenger,1,"Southampton, England",No bridge found,1,0
"Karajic, Mr. Milan",male,30,3rd,S,Hungary,349246,7.1711,0,0,no,637,31-45,Minimum,No cabin found,Passenger,0,"Southampton, England",No bridge found,0,0
"Karlsson, Mr. Einar Gervasius",male,21,3rd,S,Sweden,350053,7.1511,0,0,yes,1115,16-30,Minimum,No cabin found,Passenger,1,"Southampton, England",No bridge found,0,1
"Karlsson, Mr. Julius Konrad Eugen",male,33,3rd,S,Sweden,347465,7.1701,0,0,no,1087,31-45,Minimum,No cabin found,Passenger,0,"Southampton, England",No bridge found,0,0
"Karlsson, Mr. Nils August",male,22,3rd,S,Sweden,350060,7.1005,0,0,no,479,16-30,Minimum,No cabin found,Passenger,0,"Southampton, England",No bridge found,0,0
"Karnes, Mrs. Claire",female,22,2nd,S,United States,13534,21,0,0,no,641,16-30,2,No cabin found,Passenger,0,"Southampton, England",No bridge found,0,0
"Karun, Miss. Manca",female,5,3rd,C,Slovenia,349256,13.0804,0,1,yes,692,0-15,1,No cabin found,Passenger,1,"Cherbourg, France",No bridge found,1,0
"Karun, Mr. Franz",male,39,3rd,C,United States,349256,13.0804,0,1,yes,932,31-45,1,No cabin found,Passenger,1,"Cherbourg, France",No bridge found,0,1
"Katavelos, Mr. Vasilios G.",male,19,3rd,C,Greece,2682,7.0407,0,0,no,644,16-30,Minimum,No cabin found,Passenger,0,"Cherbourg, France",No bridge found,1,1
"Keane, Miss. Nora Agnes",female,46,2nd,Q,Ireland,226593,12.07,0,0,yes,645,45-60,1,No cabin found,Passenger,1,"Queenstown, England",No bridge found,1,0
"Keane, Mr. Andrew",male,23,3rd,Q,Ireland,12460,7.15,0,0,no,646,16-30,Minimum,D33,Passenger,0,"Queenstown, England",Bridge D,1,1
"Keane, Mr. Daniel",male,35,2nd,Q,Ireland,233734,12.07,0,0,no,908,31-45,1,No cabin found,Passenger,0,"Queenstown, England",No bridge found,0,0
"Keefe, Mr. Arthur",male,39,3rd,S,United States,323592,7.05,0,0,no,471,31-45,Minimum,No cabin found,Passenger,0,"Southampton, England",No bridge found,0,0
"Keeping, Mr. Edwin Herbert",male,33,1st,S,England,113503,211.1,0,0,no,649,31-45,3,No cabin found,Passenger,0,"Southampton, England",No bridge found,0,0
"Kelly, Miss. Anna Katherine",female,20,3rd,Q,Ireland,9234,7.15,0,0,yes,650,16-30,Minimum,No cabin found,Passenger,1,"Queenstown, England",No bridge found,1,0
"Kelly, Miss. Mary",female,22,3rd,Q,Ireland,14312,7.15,0,0,yes,574,16-30,Minimum,No cabin found,Passenger,1,"Queenstown, England",No bridge found,1,0
"Kelly, Mr. James",male,19,3rd,S,Scotland,363592,8.01,0,0,no,697,16-30,1,No cabin found,Passenger,0,"Southampton, England",No bridge found,0,0
"Kelly, Mr. James",male,44,3rd,Q,Ireland,330911,7.1607,0,0,no,697,45-60,Minimum,No cabin found,Passenger,0,"Queenstown, England",No bridge found,0,0
"Kelly, Mr. James",male,44,engineering crew,S,England,Crew,,Crew,Crew,no,Crew,45-60,#N/A,Crew,Crew,0,"Southampton, England",Crew,#N/A,#N/A
"Kelly, Mrs. Fanny Maria",female,49,2nd,S,England,223596,13.1,0,0,yes,655,45-60,1,No cabin found,Passenger,1,"Southampton, England",No bridge found,0,1
"Kennedy, Mr. John",male,24,3rd,Q,Ireland,368783,7.15,0,0,yes,1016,16-30,Minimum,No cabin found,Passenger,1,"Queenstown, England",No bridge found,0,1
"Kent, Mr. Edward Austin",male,58,1st,C,United States,11771,29.14,0,0,no,488,45-60,2,B37,Passenger,0,"Cherbourg, France",Bridge B,0,0
"Kenyon, Mr. Frederick Roland",male,41,1st,S,United States,17464,51.1703,1,0,no,658,31-45,3,No cabin found,Passenger,0,"Southampton, England",No bridge found,0,0
"Kenyon, Mrs. Marion Estelle",female,40,1st,S,United States,17464,51.1703,1,0,yes,659,31-45,3,No cabin found,Passenger,1,"Southampton, England",No bridge found,0,1
"Khalil, Mr. Betros",male,25,3rd,C,Lebanon,2660,14.0901,1,0,no,977,16-30,1,No cabin found,Passenger,0,"Cherbourg, France",No bridge found,0,0
"Khalil, Mrs. Zahie",female,20,3rd,C,Lebanon,2660,14.0901,1,0,no,661,16-30,1,No cabin found,Passenger,0,"Cherbourg, France",No bridge found,1,1
"Kiernan, Mr. John Joseph",male,25,3rd,Q,Ireland,367227,7.15,1,0,no,662,16-30,Minimum,No cabin found,Passenger,0,"Queenstown, England",No bridge found,0,0
"Kiernan, Mr. Philip",male,22,3rd,Q,Ireland,367229,7.15,1,0,no,215,16-30,Minimum,No cabin found,Passenger,0,"Queenstown, England",No bridge found,0,0
"Kilgannon, Mr. Thomas",male,22,3rd,Q,Ireland,36865,7.1409,0,0,no,664,16-30,Minimum,No cabin found,Passenger,0,"Queenstown, England",No bridge found,0,0
"Kimball, Mr. Edwin Nelson Jr.",male,42,1st,S,United States,11753,52.1101,1,0,yes,665,31-45,3,No cabin found,Passenger,1,"Southampton, England",No bridge found,1,0
"Kimball, Mrs. Susan Gertrude",female,45,1st,S,United States,11753,52.1101,1,0,yes,666,45-60,3,No cabin found,Passenger,1,"Southampton, England",No bridge found,0,1
"Kink-Heilmann, Miss. Luise Gretchen",female,4,3rd,S,Switzerland,315153,22,0,2,yes,185,0-15,2,No cabin found,Passenger,1,"Southampton, England",No bridge found,1,0
"Kink-Heilmann, Mrs. Luise",female,26,3rd,S,Switzerland,315153,22,1,1,yes,668,16-30,2,No cabin found,Passenger,1,"Southampton, England",No bridge found,0,1
"Kink, Miss. Maria",female,23,3rd,S,Switzerland,315152,8.1303,2,0,no,1268,16-30,1,No cabin found,Passenger,0,"Southampton, England",No bridge found,1,1
"Kink, Mr. Anton",male,29,3rd,S,Switzerland,315153,22,3,1,yes,670,31-45,2,C126,Passenger,1,"Southampton, England",Bridge C,1,0
"Kink, Mr. Vincenz",male,26,3rd,S,Switzerland,315151,8.1303,2,0,no,70,16-30,1,No cabin found,Passenger,0,"Southampton, England",No bridge found,0,0
"Kirkland, Fr. Charles Leonard",male,52,2nd,Q,United States,219533,12.07,0,0,no,672,45-60,1,B71,Passenger,0,"Queenstown, England",Bridge B,0,0
"Klaber, Mr. Herman",male,41,1st,S,United States,113028,26.11,0,0,no,712,31-45,2,C124,Passenger,0,"Southampton, England",Bridge C,0,0
"Klasén, Miss. Gertrud Emilia",female,1,3rd,S,Sweden,350405,12.0308,1,1,no,674,0-15,1,No cabin found,Passenger,0,"Southampton, England",No bridge found,1,1
"Klasén, Mr. Klas Albin",male,18,3rd,S,Sweden,350404,7.1701,1,1,no,675,16-30,Minimum,No cabin found,Passenger,0,"Southampton, England",No bridge found,0,0
"Klasén, Mrs. Hulda Kristina Eugenia",female,36,3rd,S,Sweden,350405,12.0308,0,2,no,676,31-45,1,No cabin found,Passenger,0,"Southampton, England",No bridge found,0,0
"Knight, Mr. Robert",male,41,2nd,B,Northern Ireland,239855,,0,0,no,677,31-45,#N/A,No cabin found,Passenger,0,Boarded elswhere,No bridge found,0,0
"Kraeff, Mr. Theodor",male,,3rd,C,Bulgaria,349253,7.1711,0,0,no,43,,Minimum,No cabin found,Passenger,0,"Cherbourg, France",No bridge found,0,0
"Krekorian, Mr. Neshan",male,25,3rd,C,Turkey,2654,7.0407,0,0,yes,1213,16-30,Minimum,F E57,Passenger,1,"Cherbourg, France",Bridge F,0,1
"Kreuchen, Miss. Emilie",female,29,1st,S,NA,24160,211.0609,0,0,yes,1216,31-45,3,No cabin found,Passenger,1,"Southampton, England",No bridge found,1,0
"Krins, Mr. Georges Alexandre",male,23,2nd,S,England,250654,,Crew,Crew,no,681,16-30,#N/A,No cabin found,Passenger,0,"Southampton, England",No bridge found,0,0
"Kutscher (Lithman), Mr. Simon",male,26,3rd,S,Scotland,251,7.11,0,0,no,682,16-30,Minimum,D49,Passenger,0,"Southampton, England",Bridge D,1,1
"Kvillner, Mr. Johan Henrik Johannesson",male,31,2nd,S,Sweden,18723,10.1,0,0,no,440,31-45,1,No cabin found,Passenger,0,"Southampton, England",No bridge found,0,0
"Lahhūd Ishaq Mu'awwad, Mr. Sarkīs",male,35,3rd,C,Lebanon,2624,7.0406,0,0,no,684,31-45,Minimum,No cabin found,Passenger,0,"Cherbourg, France",No bridge found,0,0
"Lahtinen, Fr. William",male,35,2nd,S,United States,250651,26,1,1,no,685,31-45,2,No cabin found,Passenger,0,"Southampton, England",No bridge found,0,0
"Lahtinen, Mrs. Anna Amelia",female,34,2nd,S,United States,250651,26,1,1,no,686,31-45,2,No cabin found,Passenger,0,"Southampton, England",No bridge found,0,0
"Laitinen, Miss. Kristina Sofia",female,37,3rd,S,Finland,4135,9.1109,0,0,no,504,31-45,1,No cabin found,Passenger,0,"Southampton, England",No bridge found,0,0
"Lamb, Mr. John J.",male,31,2nd,Q,Ireland,240261,10.1402,0,0,no,688,31-45,1,No cabin found,Passenger,0,"Queenstown, England",No bridge found,0,0
"Lam, Mr. Ali",male,38,3rd,S,China/Hong Kong,1601,56.0911,0,0,yes,693,31-45,3,No cabin found,Passenger,1,"Southampton, England",No bridge found,1,0
"Lam, Mr. Len",male,23,3rd,S,NA,1601,56.0911,0,0,no,827,16-30,3,No cabin found,Passenger,0,"Southampton, England",No bridge found,0,0
"Landergren, Miss. Aurora Adelia",female,22,3rd,S,Sweden,7077,7.05,0,0,yes,377,16-30,Minimum,No cabin found,Passenger,1,"Southampton, England",No bridge found,1,0
"Lane, Mr. Patrick",male,17,3rd,Q,Ireland,7935,7.15,0,0,no,1075,16-30,Minimum,No cabin found,Passenger,0,"Queenstown, England",No bridge found,0,0
"Lang, Mr. Fang",male,32,3rd,S,NA,1601,56.0911,0,0,yes,510,31-45,3,No cabin found,Passenger,1,"Southampton, England",No bridge found,1,0
"Laroche, Miss. Louise",female,1,2nd,C,France,2123,41.1107,1,2,yes,1188,0-15,3,No cabin found,Passenger,1,"Cherbourg, France",No bridge found,1,0
"Laroche, Miss. Simonne Marie Anne Andrée",female,3,2nd,C,France,2123,41.1107,1,2,yes,695,0-15,3,No cabin found,Passenger,1,"Cherbourg, France",No bridge found,0,1
"Laroche, Mr. Joseph Philippe Lemercier",male,25,2nd,C,France,2123,41.1107,1,2,no,686,16-30,3,No cabin found,Passenger,0,"Cherbourg, France",No bridge found,0,0
"Laroche, Mrs. Juliette Marie Louise",female,22,2nd,C,France,2123,41.1107,1,2,yes,697,16-30,3,No cabin found,Passenger,1,"Cherbourg, France",No bridge found,0,1
"Larsson, Mr. August Viktor",male,29,3rd,S,United States,7545,9.0908,0,0,no,714,31-45,1,No cabin found,Passenger,0,"Southampton, England",No bridge found,0,0
"Larsson, Mr. Bengt Edvin",male,29,3rd,S,Sweden,347067,7.1506,0,0,no,232,31-45,Minimum,No cabin found,Passenger,0,"Southampton, England",No bridge found,0,0
"Larsson, Mr. Edvard",male,22,3rd,S,Sweden,347065,7.1506,0,0,no,700,16-30,Minimum,F G63,Passenger,0,"Southampton, England",Bridge F,0,0
"Leader, Dr. Alice May",female,49,1st,S,United States,17465,25.1807,0,0,yes,701,45-60,2,C62 C64,Passenger,1,"Southampton, England",Bridge C,1,0
"Lefebvre, Master. Henry",male,5,3rd,S,NA,4133,25.0904,3,1,no,702,0-15,2,E24,Passenger,0,"Southampton, England",Bridge E,1,1
"Lefebvre, Miss. Ida",female,3,3rd,S,NA,4133,25.0904,3,1,no,703,0-15,2,No cabin found,Passenger,0,"Southampton, England",No bridge found,0,0
"Lefebvre, Miss. Jeannie",female,8,3rd,S,NA,4133,25.0904,3,1,no,704,0-15,2,No cabin found,Passenger,0,"Southampton, England",No bridge found,0,0
"Lefebvre, Miss. Mathilde",female,12,3rd,S,NA,4133,25.0904,3,1,no,705,0-15,2,No cabin found,Passenger,0,"Southampton, England",No bridge found,0,0
"Lefebvre, Mrs. Frances Marie",female,40,3rd,S,NA,4133,25.0904,0,4,no,706,31-45,2,No cabin found,Passenger,0,"Southampton, England",No bridge found,0,0
"Lehmann, Miss. Bertha",female,17,2nd,C,Switzerland,1748,12,0,0,yes,390,16-30,1,No cabin found,Passenger,1,"Cherbourg, France",No bridge found,1,0
"Leinonen, Mr. Antti Gustaf",male,32,3rd,S,Finland,3101292,7.1806,0,0,no,637,31-45,1,No cabin found,Passenger,0,"Southampton, England",No bridge found,0,0
"Leitch, Miss. Jessie Wills",female,31,2nd,S,Scotland,248727,33,0,0,yes,597,31-45,3,No cabin found,Passenger,1,"Southampton, England",No bridge found,1,0
"Lemore, Mrs. Amelia",female,39,2nd,S,England,34260,10.1,0,0,yes,710,31-45,1,No cabin found,Passenger,1,"Southampton, England",No bridge found,1,0
"Lennon, Miss. Mary",female,18,3rd,Q,Ireland,370371,15.1,1,0,no,1165,16-30,2,No cabin found,Passenger,0,"Queenstown, England",No bridge found,1,1
"Lennon, Mr. Denis",male,20,3rd,Q,Ireland,370371,15.1,1,0,no,47,16-30,2,No cabin found,Passenger,0,"Queenstown, England",No bridge found,0,0
"Leroy, Miss. Berthe",female,27,1st,C,France,17761,106.0806,0,0,yes,713,16-30,3,C126,Passenger,1,"Cherbourg, France",Bridge C,1,0
"Lester, Mr. James",male,41,3rd,S,England,48871,24.03,0,0,no,812,31-45,2,No cabin found,Passenger,0,"Southampton, England",No bridge found,0,0
"Lesueur, Mr. Gustave J.",male,35,1st,C,NA,17755,512.0607,0,0,yes,715,31-45,4,No cabin found,Passenger,1,"Cherbourg, France",No bridge found,0,1
"Lévy, Mr. René Jacques",male,37,2nd,S,Canada,2163,12.1706,0,0,no,716,31-45,1,F G73,Passenger,0,"Southampton, England",Bridge F,0,0
"Lewy, Mr. Ervin G.",male,30,1st,C,United States,17612,27.1405,0,0,no,717,31-45,2,C45,Passenger,0,"Cherbourg, France",Bridge C,1,1
"Leyson, Mr. Robert William Norman",male,25,2nd,S,England,29566,10.1,0,0,no,235,16-30,1,No cabin found,Passenger,0,"Southampton, England",No bridge found,0,0
"Lievens, Mr. René Aimé",male,24,3rd,S,Belgium,345781,9.1,0,0,no,719,16-30,1,No cabin found,Passenger,0,"Southampton, England",No bridge found,0,0
"Lindahl, Miss. Agda Thorilda Viktoria",female,25,3rd,S,Sweden,347071,7.1506,0,0,no,247,16-30,Minimum,No cabin found,Passenger,0,"Southampton, England",No bridge found,0,0
"Lindblom, Miss. Augusta Charlotta",female,45,3rd,S,England,347073,7.15,0,0,no,277,45-60,Minimum,No cabin found,Passenger,0,"Southampton, England",No bridge found,0,0
"Lindeberg-Lind, Mr. Erik Gustaf",male,42,1st,S,Sweden,17475,26.11,0,0,no,722,31-45,2,No cabin found,Passenger,0,"Southampton, England",No bridge found,0,0
"Lindell, Mr. Edvard Bengtsson",male,36,3rd,S,Sweden,349910,15.11,1,0,no,606,31-45,2,No cabin found,Passenger,0,"Southampton, England",No bridge found,0,0
"Lindell, Mrs. Elin Gerda",female,30,3rd,S,Sweden,349910,15.11,1,0,no,724,31-45,2,No cabin found,Passenger,0,"Southampton, England",No bridge found,0,0
"Lindqvist, Mr. Eino William",male,20,3rd,S,Finland,3101285,7.1806,1,0,yes,665,16-30,1,No cabin found,Passenger,1,"Southampton, England",No bridge found,1,0
"Lindström, Mrs. Sigrid",female,55,1st,C,Sweden,112377,27.1405,0,0,yes,726,45-60,2,No cabin found,Passenger,1,"Cherbourg, France",No bridge found,0,1
"Linehan, Mr. Michael",male,21,3rd,Q,Ireland,330971,7.1707,0,0,no,1125,16-30,Minimum,No cabin found,Passenger,0,"Queenstown, England",No bridge found,0,0
"Lines, Miss. Mary Conover",female,16,1st,C,France,17592,39.08,0,1,yes,854,16-30,3,D28,Passenger,1,"Cherbourg, France",Bridge D,1,0
"Lines, Mrs. Elizabeth Lindsey",female,50,1st,C,United States,17592,39.08,0,1,yes,729,45-60,3,No cabin found,Passenger,1,"Cherbourg, France",No bridge found,0,1
"Lingane, Mr. John",male,61,2nd,Q,Ireland,235509,12.07,0,0,no,1085,60+,1,No cabin found,Passenger,0,"Queenstown, England",No bridge found,0,0
"Ling, Mr. Lee",male,28,3rd,S,NA,1601,56.0911,0,0,no,170,16-30,3,No cabin found,Passenger,0,"Southampton, England",No bridge found,0,0
"Linhart, Mr. Wenzel",male,27,3rd,S,Austria,345775,9.1,0,0,no,732,16-30,1,No cabin found,Passenger,0,"Southampton, England",No bridge found,0,0
"Livshin, Mr. David",male,25,3rd,S,Latvia,374887,7.05,0,0,no,733,16-30,Minimum,No cabin found,Passenger,0,"Southampton, England",No bridge found,0,0
"Lobb, Mrs. Cordelia",female,34,3rd,S,England,3336,16.02,1,0,no,734,31-45,2,No cabin found,Passenger,0,"Southampton, England",No bridge found,0,0
"Lobb, Mr. William Arthur",male,31,3rd,S,England,3336,16.02,1,0,no,254,31-45,2,No cabin found,Passenger,0,"Southampton, England",No bridge found,0,0
"Lockyer, Mr. Edward Thomas",male,19,3rd,S,England,1222,7.1707,0,0,no,736,16-30,Minimum,No cabin found,Passenger,0,"Southampton, England",No bridge found,0,0
"Longley, Miss. Gretchen Fiske",female,21,1st,C,United States,13502,77.1902,0,0,yes,628,16-30,3,D9,Passenger,1,"Cherbourg, France",Bridge D,1,0
"Long, Mr. Milton Clyde",male,29,1st,S,United States,113501,30,0,0,no,783,31-45,2,D6,Passenger,0,"Southampton, England",Bridge D,0,0
"Loring, Mr. Joseph Holland",male,30,1st,S,United States,113801,45.1,0,0,no,1190,31-45,3,No cabin found,Passenger,0,"Southampton, England",No bridge found,0,0
"Louch, Mr. Charles",male,50,2nd,S,England,3085,26,1,0,no,740,45-60,2,No cabin found,Passenger,0,"Southampton, England",No bridge found,0,0
"Louch, Mrs. Alice Adelaide",female,43,2nd,S,England,3085,26,1,0,yes,741,31-45,2,D45,Passenger,1,"Southampton, England",Bridge D,1,0
"Lovell, Mr. John Hall",male,20,3rd,S,England,21173,7.05,0,0,no,742,16-30,Minimum,C46,Passenger,0,"Southampton, England",Bridge C,0,0
"Lulic, Mr. Nikola",male,29,3rd,S,Croatia (Modern),315098,8.1303,0,0,yes,822,31-45,1,No cabin found,Passenger,1,"Southampton, England",No bridge found,1,0
"Lundahl, Mr. Johan Svensson",male,50,3rd,S,Sweden,347743,7.0101,0,0,no,632,45-60,Minimum,No cabin found,Passenger,0,"Southampton, England",No bridge found,0,0
"Lundin, Miss. Olga Elida",female,23,3rd,S,United States,347469,7.1701,0,0,yes,1049,16-30,Minimum,No cabin found,Passenger,1,"Southampton, England",No bridge found,1,0
"Lundström, Mr. Thure Edvin",male,32,3rd,S,Sweden,350403,7.1107,0,0,yes,746,31-45,Minimum,B22,Passenger,1,"Southampton, England",Bridge B,0,1
"Lurette, Miss. Eugénie Elise",female,59,1st,C,France,17569,146.1005,0,0,yes,747,60+,3,No cabin found,Passenger,1,"Cherbourg, France",No bridge found,0,1
"Lymperopoulus, Mr. Panagiotis K.",male,30,3rd,C,Greece,2683,6.0809,0,0,no,748,31-45,Minimum,No cabin found,Passenger,0,"Cherbourg, France",No bridge found,1,1
"Lyntakoff, Mr. Stanko",male,44,3rd,S,NA,349235,7.1711,0,0,no,1157,45-60,Minimum,No cabin found,Passenger,0,"Southampton, England",No bridge found,0,0
"MacKay, Mr. George William",male,20,3rd,S,Scotland,42795,7.11,0,0,no,1147,16-30,Minimum,No cabin found,Passenger,0,"Southampton, England",No bridge found,0,0
"Mack, Mrs. Mary",female,57,2nd,S,England,3,10.1,0,0,no,751,45-60,1,No cabin found,Passenger,0,"Southampton, England",No bridge found,1,1
